Binomial,Family,Genus,Adult_habitat,Life_history,Sex_dichromatism,SVL,mass,rootmass,eyesize
Pseudis_paradoxa,Hylidae,Pseudis,Aquatic,Free-living larvae,Absent,55.2,24.16666667,2.886642755,7.283333333
Scinax_ruber,Hylidae,Scinax,Scansorial,Free-living larvae,Absent,38.8,4.233333333,1.617052624,4.95
Trachycephalus_typhonius,Hylidae,Trachycephalus,Scansorial,Free-living larvae,Present,65.63333333,22.13333333,2.780755487,8.716666667
Hylodes_nasus,Hylodidae,Hylodes,Ground-dwelling,Free-living larvae,NA,41.43333333,6,1.813342574,6.116666667
Afrixalus_dorsalis,Hyperoliidae,Afrixalus,Scansorial,Free-living larvae,Absent,25.3,1.366666667,1.10916667,3.65
Hyperolius_bolifambae,Hyperoliidae,Hyperolius,Scansorial,Free-living larvae,Present,25.4,1.933333333,1.239158631,4.383333333
Hyperolius_viridiflavus,Hyperoliidae,Hyperolius,Scansorial,Free-living larvae,Present,24.86666667,1.3,1.090913465,3.35
Phlyctimantis_verrucosus,Hyperoliidae,Phlyctimantis,Scansorial,Free-living larvae,Absent,51.3,9.25,2.096698369,6.725
Leiopelma_hochstetteri,Leiopelmatidae,Leiopelma,Semiaquatic,Free-living larvae,Absent,38.96666667,5.333333333,1.740547413,6.283333333
Engystomops_pustulosus,Leptodactylidae,Engystomops,Ground-dwelling,Free-living larvae,Absent,29.33333333,2.633333333,1.371263159,3.583333333
Leptodactylus_albilabris,Leptodactylidae,Leptodactylus,Ground-dwelling,Free-living larvae,NA,32.9,2.966666667,1.431668673,4.416666667
Leptodactylus_bolivianus,Leptodactylidae,Leptodactylus,Ground-dwelling,Free-living larvae,Absent,83.93333333,41.73333333,3.443458361,8.866666667
Leptodactylus_melanonotus,Leptodactylidae,Leptodactylus,Ground-dwelling,Free-living larvae,Absent,33.8,3.3,1.488704249,3.933333333
Lithodytes_lineatus,Leptodactylidae,Lithodytes,Subfossorial,Free-living larvae,NA,46.2,7.6,1.966095145,5.6
Physalaemus_cuvieri,Leptodactylidae,Physalaemus,Ground-dwelling,NA,Absent,26.5,2.166666667,1.292858191,3.5
Pleurodema_thaul,Leptodactylidae,Pleurodema,Ground-dwelling,Free-living larvae,Present,40.23333333,6.733333333,1.886586015,5.216666667
Limnodynastes_salmini,Limnodynastidae,Limnodynastes,Subfossorial,Free-living larvae,Absent,61.76666667,24.33333333,2.888505701,7.4
Aglyptodactylus_madagascariensis,Mantellidae,Aglyptodactylus,Subfossorial,Free-living larvae,Present,42.63333333,8.633333333,1.991779489,6.166666667
Mantella_aurantiaca,Mantellidae,Mantella,Ground-dwelling,Free-living larvae,Absent,21.65,1.15,1.047469342,2.6
Leptobrachella_dringi,Megophryidae,Leptobrachella,Ground-dwelling,Free-living larvae,NA,42.3,4.333333333,1.620733821,6.116666667
Leptobrachium_chapaense,Megophryidae,Leptobrachium,Ground-dwelling,Free-living larvae,Absent,54.66666667,13,2.306363941,7.9
Megophrys_brachykolos,Megophryidae,Megophrys,Semiaquatic,Free-living larvae,NA,40.73333333,4.666666667,1.669117649,5.666666667
Megophrys_feae,Megophryidae,Megophrys,Subfossorial,Free-living larvae,Absent,114.6,106.3333333,4.733289983,11.16666667
Megophrys_gerti,Megophryidae,Megophrys,Ground-dwelling,Free-living larvae,NA,32.3,3,1.44224957,4.2
Megophrys_intermedia,Megophryidae,Megophrys,Ground-dwelling,Free-living larvae,NA,102.1,84,4.37951914,10.9
Megophrys_microstoma,Megophryidae,Megophrys,Ground-dwelling,Free-living larvae,Absent,35.5,3,1.44224957,4.866666667
Megophrys_nasuta,Megophryidae,Megophrys,Ground-dwelling,Free-living larvae,Absent,101,82.25,4.20222952,12.3
Scutiger_boulengeri,Megophryidae,Scutiger,Ground-dwelling,Free-living larvae,NA,54.2,13,2.347175618,6.85
Micrixalus_phyllophilus,Micrixalidae,Micrixalus,Subfossorial,NA,NA,32.55,4.45,1.643692998,3.95
Anodonthyla_boulengerii,Microhylidae,Anodonthyla,Scansorial,Free-living larvae,Absent,19,0.4,0.7368063,2.3
Chaperina_fusca,Microhylidae,Chaperina,Ground-dwelling,Free-living larvae,Absent,22.83333333,1.8,1.213911269,3.05
Chiasmocleis_albopunctata,Microhylidae,Chiasmocleis,Subfossorial,NA,Absent,27.8,1.9,1.21943627,2.2
Cophixalus_cheesmanae,Microhylidae,Cophixalus,Scansorial,NA,NA,26.7,2.3,1.317663049,3.7
Cophixalus_neglectus,Microhylidae,Cophixalus,Subfossorial,No free-living larvae,Absent,20.93333333,1.466666667,1.121083339,3
Cophyla_tuberifera,Microhylidae,Cophyla,Scansorial,Free-living larvae,NA,34.7,3.266666667,1.47624573,4.8
Ctenophryne_aterrima,Microhylidae,Ctenophryne,Subfossorial,Free-living larvae,Absent,46.25,10.4,2.1684609,3.95
Dermatonotus_muelleri,Microhylidae,Dermatonotus,Fossorial,Free-living larvae,Absent,62.13333333,30.43333333,3.116406253,5.133333333
Dyscophus_antongilii,Microhylidae,Dyscophus,Ground-dwelling,Free-living larvae,Present,68.33333333,44.7,3.422307553,9.8
Elachistocleis_ovalis,Microhylidae,Elachistocleis,Subfossorial,Free-living larvae,Absent,35.9,4.266666667,1.610268376,2.6
Gastrophryne_carolinensis,Microhylidae,Gastrophryne,Subfossorial,Free-living larvae,Present,25.24285714,3.666666667,1.539017225,2.328571429
Gastrophryne_olivacea,Microhylidae,Gastrophryne,Subfossorial,Free-living larvae,Absent,28.08,2.166666667,1.28405772,2.18
Gastrophrynoides_borneensis,Microhylidae,Gastrophrynoides,Subfossorial,NA,NA,13.2,0.3,0.66943295,1.55
Glyphoglossus_guttulatus,Microhylidae,Glyphoglossus,Fossorial,Free-living larvae,NA,42.5,9,2.007035513,3.75
Hoplophryne_rogersi,Microhylidae,Hoplophryne,Ground-dwelling,Free-living larvae,Absent,24.2,1.833333333,1.215566394,2.966666667
Hylophorbus_rufescens,Microhylidae,Hylophorbus,Ground-dwelling,No free-living larvae,NA,36.8,6.15,1.826139695,4.775
Kalophrynus_interlineatus,Microhylidae,Kalophrynus,Subfossorial,NA,Absent,38.23333333,7.366666667,1.929476177,4.416666667
Kalophrynus_pleurostigma,Microhylidae,Kalophrynus,Subfossorial,Free-living larvae,Absent,44.66666667,10.53333333,2.154306042,5.5
Kaloula_conjuncta,Microhylidae,Kaloula,Scansorial,Free-living larvae,NA,43.2,9.466666667,2.072499448,4.9
Kaloula_indochinensis,Microhylidae,Kaloula,Ground-dwelling,NA,Absent,56.5,18,2.61984162,5.45
Kaloula_pulchra,Microhylidae,Kaloula,Ground-dwelling,Free-living larvae,Absent,66.85,39.75,3.406897635,6.85
Mantophryne_lateralis,Microhylidae,Mantophryne,Ground-dwelling,No free-living larvae,NA,30.73333333,3.166666667,1.419712469,3.95
Melanobatrachus_indicus,Microhylidae,Melanobatrachus,Subfossorial,NA,NA,28.13333333,2.333333333,1.28004725,3.866666667
Microhyla_annectens,Microhylidae,Microhyla,Ground-dwelling,Free-living larvae,Absent,17.36666667,0.6,0.828551573,2.2
Microhyla_heymonsi,Microhylidae,Microhyla,Subfossorial,NA,Absent,19.55,1.55,1.124161945,2.275
Microhyla_pulverata,Microhylidae,Microhyla,Ground-dwelling,NA,NA,23.86666667,NA,NA,2.75
Oreophryne_variabilis,Microhylidae,Oreophryne,Scansorial,NA,NA,25.36666667,1.8,1.213911269,3.15
Phrynomantis_microps,Microhylidae,Phrynomantis,Subfossorial,Free-living larvae,Absent,52.4,15.4,2.420893339,4.9
Plethodontohyla_notosticta,Microhylidae,Plethodontohyla,Scansorial,Free-living larvae,Absent,37.6,4.866666667,1.687433406,4.3
Scaphiophryne_marmorata,Microhylidae,Scaphiophryne,Subfossorial,Free-living larvae,Absent,39.93333333,8.566666667,2.003121282,5.2
Stumpffia_?grandis,Microhylidae,Stumpffia,Ground-dwelling,NA,NA,14.6,0.4,0.7368063,1.9
Synapturanus_mirandaribeiroi,Microhylidae,Synapturanus,Subfossorial,Free-living larvae,NA,31.06666667,2.9,1.424908204,2.066666667
Uperodon_globulosus,Microhylidae,Uperodon,Fossorial,Free-living larvae,Absent,69.5,72,4.160167646,4.55
Uperodon_systoma,Microhylidae,Uperodon,Fossorial,NA,Absent,53.86666667,26.63333333,2.951528915,5.35
Crinia_signifera,Myobatrachidae,Crinia,Ground-dwelling,Free-living larvae,Absent,25.225,2.25,1.30550318,3.4
Mixophyes_fasciolatus,Myobatrachidae,Mixophyes,Ground-dwelling,Free-living larvae,Absent,49.93333333,15,2.25992105,7.683333333
Myobatrachus_gouldii,Myobatrachidae,Myobatrachus,Fossorial,No free-living larvae,Absent,39.1,7.5,1.918947945,3.35
Uperoleia_laevigata,Myobatrachidae,Uperoleia,Ground-dwelling,NA,NA,21.25,1.25,1.064980263,2.6125
Nasikabatrachus_sahyadrensis,Nasikabatrachidae,Nasikabatrachus,Fossorial,Free-living larvae,Absent,72.575,72.5,3.906165647,2.175
Nyctibatrachus_humayuni,Nyctibatrachidae,Nyctibatrachus,Semiaquatic,Free-living larvae,Absent,43.76666667,10.43333333,2.148449693,6.1
Odontobatrachus_natator,Odontobatrachidae,Odontobatrachus,Semiaquatic,Free-living larvae,Absent,52.98333333,14.22333333,2.412096187,7.18
Odontophrynus_americanus,Odontophrynidae,Odontophrynus,Ground-dwelling,Free-living larvae,Absent,47.43333333,14.06666667,2.407234046,6.733333333
Proceratophrys_boiei,Odontophrynidae,Proceratophrys,Subfossorial,Free-living larvae,Absent,58.56666667,19.26666667,2.662206948,8.566666667
Pelobates_cultripes,Pelobatidae,Pelobates,Fossorial,Free-living larvae,Absent,75.63333333,60.33333333,3.879772254,11.21666667
Pelobates_syriacus,Pelobatidae,Pelobates,Fossorial,Free-living larvae,Absent,65.35,34.2,3.031555734,7.7
Nyctimystes_kubori,Pelodryadidae,Nyctimystes,Scansorial,Free-living larvae,NA,44.8,7.666666667,1.923762194,6.5
Nyctimystes_papua,Pelodryadidae,Nyctimystes,Scansorial,NA,NA,49.3,5.6,1.772377422,6.45
Ranoidea_caerulea,Pelodryadidae,Ranoidea,Scansorial,Free-living larvae,NA,81.73333333,30.93333333,3.128690665,7.766666667
Ranoidea_platycephala,Pelodryadidae,Ranoidea,Ground-dwelling,Free-living larvae,Absent,51.23333333,16.33333333,2.524479916,6.333333333
Pelodytes_punctatus,Pelodytidae,Pelodytes,Ground-dwelling,Free-living larvae,Absent,35.64,4.4,1.584872749,4.41
Petropedetes_parkeri,Petropedetidae,Petropedetes,Scansorial,Free-living larvae,Absent,53.36666667,14.46666667,2.39220799,7.266666667
Phrynobatrachus_krefftii,Phrynobatrachidae,Phrynobatrachus,Semiaquatic,Free-living larvae,Absent,30.66666667,3.2,1.472650077,4.683333333
Phrynobatrachus_natalensis,Phrynobatrachidae,Phrynobatrachus,Ground-dwelling,Free-living larvae,Present,26.93333333,2.4,1.337691406,3.7
Agalychnis_dacnicolor,Phyllomedusidae,Agalychnis,Scansorial,Free-living larvae,Absent,80.86666667,22.03333333,2.784048657,8.7
Cruziohyla_calcarifer,Phyllomedusidae,Cruziohyla,Scansorial,Free-living larvae,Absent,64.2,12.4,2.314589055,8.5
Pithecopus_hypochondrialis,Phyllomedusidae,Pithecopus,Scansorial,Free-living larvae,NA,41.53333333,2.766666667,1.392540203,5.316666667
Hymenochirus_boettgeri,Pipidae,Hymenochirus,Aquatic,Free-living larvae,Absent,32.875,2.75,1.39666744,1.7125
Pipa_carvalhoi,Pipidae,Pipa,Aquatic,Free-living larvae,Absent,46.675,11,2.1878757,2.75
Pipa_pipa,Pipidae,Pipa,Aquatic,No free-living larvae,Absent,118.7666667,174.3333333,5.53625717,3.7
Pseudhymenochirus_merlini,Pipidae,Pseudhymenochirus,Aquatic,Free-living larvae,Absent,43.225,6.5,1.862192374,3.4125
Xenopus_fraseri,Pipidae,Xenopus,Aquatic,Free-living larvae,Absent,47.83333333,10.33333333,2.174648999,3.266666667
Xenopus_tropicalis,Pipidae,Xenopus,Aquatic,Free-living larvae,Absent,28.7,3.666666667,1.506430404,1.916666667
Ptychadena_mascareniensis,Ptychadenidae,Ptychadena,Ground-dwelling,Free-living larvae,Absent,48.43333333,12.03333333,2.278751543,5.833333333
Ptychadena_oxyrhynchus,Ptychadenidae,Ptychadena,Ground-dwelling,Free-living larvae,Absent,57.8,20.7,2.728954676,7.35
Amietia_angolensis,Pyxicephalidae,Amietia,Semiaquatic,Free-living larvae,Absent,72.2,33.16666667,3.211670375,8.766666667
Aubria_subsigillata,Pyxicephalidae,Aubria,Aquatic,Free-living larvae,Absent,89.26666667,63.66666667,3.894176798,10.65
Pyxicephalus_edulis,Pyxicephalidae,Pyxicephalus,Ground-dwelling,Free-living larvae,Present,58.5,22.03333333,2.679885384,7.633333333
Strongylopus_grayii,Pyxicephalidae,Strongylopus,Ground-dwelling,Free-living larvae,Absent,26.6,2.4,1.32517855,3.5
Amolops_ricketti,Ranidae,Amolops,Semiaquatic,Free-living larvae,Absent,50.96666667,11.93333333,2.277883935,7.05
Lithobates_berlandieri,Ranidae,Lithobates,Semiaquatic,Free-living larvae,Absent,63.6,22.6,2.827185869,7.8
Lithobates_catesbeianus,Ranidae,Lithobates,Semiaquatic,Free-living larvae,Absent,119.55,193,5.769829129,14.475
Lithobates_pipiens,Ranidae,Lithobates,Semiaquatic,Free-living larvae,Absent,57.3,20.96666667,2.756953837,7.083333333
Lithobates_virgatipes,Ranidae,Lithobates,Semiaquatic,Free-living larvae,Absent,46.73333333,10.96666667,2.21249232,6.833333333
Nidirana_chapaensis,Ranidae,Nidirana,Semiaquatic,NA,NA,44.7,7.666666667,1.902171814,5.6
Odorrana_hosii,Ranidae,Odorrana,Semiaquatic,Free-living larvae,Present,76,32.2,3.016109325,10.61666667
Pelophylax_ridibundus,Ranidae,Pelophylax,Semiaquatic,Free-living larvae,Absent,83.06666667,63.16666667,3.979112312,9.633333333
Rana_amurensis,Ranidae,Rana,Ground-dwelling,Free-living larvae,NA,52.9,10.66666667,2.192940546,6.016666667
Rana_chensinensis,Ranidae,Rana,Ground-dwelling,Free-living larvae,Absent,57.63333333,18.3,2.584338979,6.733333333
Rana_japonica,Ranidae,Rana,Ground-dwelling,Free-living larvae,Absent,60.05,17.5,2.593183105,7.1
Rana_temporaria,Ranidae,Rana,Ground-dwelling,Free-living larvae,Present,68.56,29.96333333,3.099353209,7.568333333
Sylvirana_guentheri,Ranidae,Sylvirana,Semiaquatic,Free-living larvae,NA,65.86666667,21.9,2.73868771,8.5
Kurixalus_odontotarsus,Rhacophoridae,Kurixalus,Scansorial,NA,Absent,33.46666667,4,1.587401052,5.316666667
Rhacophorus_dennysi,Rhacophoridae,Rhacophorus,Scansorial,Free-living larvae,Absent,92.66666667,38.16666667,3.363471549,9.7
Rhinoderma_darwinii,Rhinodermatidae,Rhinoderma,Ground-dwelling,No free-living larvae,Absent,27.45,2.5,1.35108531,3.7
Rhinophrynus_dorsalis,Rhinophrynidae,Rhinophrynus,Fossorial,Free-living larvae,Absent,67.7,51.25,3.706990595,4.075
Scaphiopus_couchii,Scaphiopodidae,Scaphiopus,Ground-dwelling,Free-living larvae,Present,55.9,18.66666667,2.630826811,8.133333333
Scaphiopus_holbrookii,Scaphiopodidae,Scaphiopus,Ground-dwelling,Free-living larvae,Absent,65.83333333,27.66666667,3.012925111,8.466666667
Spea_bombifrons,Scaphiopodidae,Spea,Ground-dwelling,Free-living larvae,Absent,52.825,14.5,2.436882782,7.425
Spea_intermontana,Scaphiopodidae,Spea,Ground-dwelling,Free-living larvae,Absent,45.6,12.5,2.320381587,6.95
Spea_multiplicata,Scaphiopodidae,Spea,Ground-dwelling,Free-living larvae,Absent,48.23333333,13,2.339747258,6.883333333
Sooglossus_sechellensis,Sooglossidae,Sooglossus,Subfossorial,Free-living larvae,Absent,20.66666667,1.033333333,0.99936921,3.45
Telmatobius_culeus,Telmatobiidae,Telmatobius,Aquatic,Free-living larvae,Absent,86.82,65.2,3.989967886,8.78
